"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Torgersen",39.6,17.2,196,3550,"female",2008
"2","Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"3","Adelie","Dream",39.5,16.7,178,3250,"female",2007
"4","Adelie","Torgersen",42.1,19.1,195,4000,"male",2008
"5","Adelie","Dream",36.9,18.6,189,3500,"female",2008
"6","Adelie","Dream",39.6,18.8,190,4600,"male",2007
"7","Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"8","Adelie","Dream",37.3,17.8,191,3350,"female",2008
"9","Adelie","Torgersen",45.8,18.9,197,4150,"male",2008
"10","Adelie","Torgersen",NA,NA,NA,NA,NA,2007
"11","Adelie","Biscoe",38.2,20,190,3900,"male",2009
"12","Adelie","Biscoe",41.4,18.6,191,3700,"male",2008
"13","Adelie","Torgersen",38.7,19,195,3450,"female",2007
"14","Adelie","Dream",36.6,18.4,184,3475,"female",2009
"15","Adelie","Torgersen",42.8,18.5,195,4250,"male",2008
"16","Adelie","Biscoe",40.5,18.9,180,3950,"male",2007
"17","Adelie","Dream",37.5,18.5,199,4475,"male",2009
"18","Adelie","Dream",40.9,18.9,184,3900,"male",2007
"19","Adelie","Dream",38.1,17.6,187,3425,"female",2009
"20","Adelie","Biscoe",40.1,18.9,188,4300,"male",2008
"21","Adelie","Biscoe",38.6,17.2,199,3750,"female",2009
"22","Adelie","Biscoe",40.6,18.8,193,3800,"male",2008
"23","Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"24","Adelie","Torgersen",34.4,18.4,184,3325,"female",2007
"25","Adelie","Torgersen",37.2,19.4,184,3900,"male",2008
"26","Adelie","Biscoe",35,17.9,190,3450,"female",2008
"27","Adelie","Biscoe",39.7,17.7,193,3200,"female",2009
"28","Adelie","Biscoe",42.7,18.3,196,4075,"male",2009
"29","Adelie","Biscoe",45.6,20.3,191,4600,"male",2009
"30","Adelie","Biscoe",37.6,17,185,3600,"female",2008
"31","Adelie","Biscoe",36.5,16.6,181,2850,"female",2008
"32","Adelie","Dream",41.3,20.3,194,3550,"male",2008
"33","Adelie","Biscoe",42,19.5,200,4050,"male",2008
"34","Chinstrap","Dream",50.3,20,197,3300,"male",2007
"35","Chinstrap","Dream",45.2,16.6,191,3250,"female",2009
"36","Chinstrap","Dream",40.9,16.6,187,3200,"female",2008
"37","Chinstrap","Dream",51.9,19.5,206,3950,"male",2009
"38","Chinstrap","Dream",50.7,19.7,203,4050,"male",2009
"39","Chinstrap","Dream",45.4,18.7,188,3525,"female",2007
"40","Chinstrap","Dream",51.3,18.2,197,3750,"male",2007
"41","Chinstrap","Dream",46.2,17.5,187,3650,"female",2008
"42","Chinstrap","Dream",42.5,16.7,187,3350,"female",2008
"43","Chinstrap","Dream",46,18.9,195,4150,"female",2007
"44","Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
"45","Chinstrap","Dream",47.5,16.8,199,3900,"female",2008
"46","Chinstrap","Dream",49.3,19.9,203,4050,"male",2009
"47","Chinstrap","Dream",45.6,19.4,194,3525,"female",2009
"48","Chinstrap","Dream",55.8,19.8,207,4000,"male",2009
"49","Chinstrap","Dream",45.5,17,196,3500,"female",2008
"50","Chinstrap","Dream",50.5,19.6,201,4050,"male",2007
"51","Chinstrap","Dream",49.5,19,200,3800,"male",2008
"52","Chinstrap","Dream",47.6,18.3,195,3850,"female",2008
"53","Chinstrap","Dream",45.7,17.3,193,3600,"female",2009
"54","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"55","Chinstrap","Dream",53.5,19.9,205,4500,"male",2008
"56","Chinstrap","Dream",50.8,18.5,201,4450,"male",2009
"57","Chinstrap","Dream",51.3,19.2,193,3650,"male",2007
"58","Chinstrap","Dream",52,18.1,201,4050,"male",2007
"59","Chinstrap","Dream",49.6,18.2,193,3775,"male",2009
"60","Chinstrap","Dream",46.6,17.8,193,3800,"female",2007
"61","Chinstrap","Dream",49,19.5,210,3950,"male",2008
"62","Chinstrap","Dream",52.8,20,205,4550,"male",2008
"63","Chinstrap","Dream",46.1,18.2,178,3250,"female",2007
"64","Chinstrap","Dream",50.9,17.9,196,3675,"female",2009
"65","Chinstrap","Dream",52.2,18.8,197,3450,"male",2009
"66","Chinstrap","Dream",51,18.8,203,4100,"male",2008
"67","Gentoo","Biscoe",48.4,14.6,213,5850,"male",2007
"68","Gentoo","Biscoe",43.6,13.9,217,4900,"female",2008
"69","Gentoo","Biscoe",49.5,16.2,229,5800,"male",2008
"70","Gentoo","Biscoe",48.2,15.6,221,5100,"male",2008
"71","Gentoo","Biscoe",52.5,15.6,221,5450,"male",2009
"72","Gentoo","Biscoe",50.2,14.3,218,5700,"male",2007
"73","Gentoo","Biscoe",NA,NA,NA,NA,NA,2009
"74","Gentoo","Biscoe",47.5,15,218,4950,"female",2009
"75","Gentoo","Biscoe",55.1,16,230,5850,"male",2009
"76","Gentoo","Biscoe",45.5,13.7,214,4650,"female",2007
"77","Gentoo","Biscoe",46.2,14.5,209,4800,"female",2007
"78","Gentoo","Biscoe",54.3,15.7,231,5650,"male",2008
"79","Gentoo","Biscoe",46.4,15.6,221,5000,"male",2008
"80","Gentoo","Biscoe",49.2,15.2,221,6300,"male",2007
"81","Gentoo","Biscoe",47.2,15.5,215,4975,"female",2009
"82","Gentoo","Biscoe",46.5,13.5,210,4550,"female",2007
